# Parse errors, both directions, against build/bin/rexxc.
#
# One row per program. `expect` is `ok` when rexxc answers rc 0, meaning the
# program TRANSLATES, and `major.sub` otherwise; `line` is the line the
# oracle's MAIN message names, or `-` for an accepted program. `program` is the
# program's bytes, with `\\`, `\t`, `\n`, `\r` and `\xNN` the only escapes.
#
# How it was generated: the `ok`/`err` helpers of src/instruction/tests.rs,
# src/directive/tests.rs and src/block/tests.rs were temporarily instrumented to
# dump every program they parse; `cargo test -p rexx-parse --lib` collected
# them; the tables in tests/scanner.rs and src/expr/tests.rs were transcribed by
# hand, the latter as the program `r = <expr>` it was measured as; then
# build/bin/rexxc was run on each and its answer recorded. The instrumentation
# was reverted and the tree verified clean.
#
# The last seven rows were added afterwards, and separately, because mutation
# testing found two error paths that no row reached: 99.916 raised on a clause
# that is not a directive at all (five rows, one per directive kind that cannot
# carry a body), and 20.923 raised for a namespace-qualified symbol with no name
# after the colon (two rows, one per arm of the check). Each was measured with
# rexxc the same way as the rest.
#
# Nothing here is our parser's own answer. A row records only what the oracle
# said, so a divergence shows up as a test failure rather than as an expected
# value.
expect	line	program
25.925	1	::attribute a guarded unguarded\n
31.3	1	drop (.a)
ok	-	::class m1 mixinclass object\n::class m2 mixinclass object\n::class c inherit m1 m2\n
31.3	1	drop (.5)
ok	-	::method m\nuse local x\nguard on when a.1\n
ok	-	::resource d\nthis is 'unmatched and /* unclosed\n::END\n
ok	-	lab:\nnop\n
ok	-	::options digits 123456789012345678\n
47.3	7	nop\n\nif 1 = 1 then nop\n\nlab:\n\nelse nop\n
ok	-	use local
18.1	2	if 1 = 1\nnop
ok	-	drop a b c.
ok	-	do label a while 1\nnop\nend\n
20.909	3	do\nnop\nend "x"
20.925	1	::options form "scientific"\n
ok	-	::resource d; say 'x'\nbody\n::END\n
24.1	1	trace 1234567890
ok	-	say 1
ok	-	do i = 1 to 3\nend
99.913	4	::method m\nexpose a.\nparse value 1 with a.1\nguard on when a.1\n
ok	-	arg a
21.903	1	call on error name lab x
ok	-	use strict arg a
99.916	1	::junk\n
ok	-	guard on
ok	-	use arg a, b
19.916	1	::constant c *5\n
18.1	5	nop\n\nnop\n\nif 1 = 1\n
ok	-	::requires "nosuch"\n
ok	-	select\nwhen 1 then nop\notherwise nop\nend
35.929	1	if
ok	-	select case 1\nwhen 1 then nop\nwhen 2, 3 then nop\notherwise nop\nend\n
21.913	1	::constant c 5 6\n
21.905	1	signal lab x
7.2	5	nop\n\nselect\n\ndo\n\nend\n\nend\n
25.904	1	::requires x DELEGATE\n
25.925	1	::attribute a class class\n
ok	-	if 1 then   \nnop
49.2	1	do i over x for 1 to 2\nend
ok	-	if(1) then nop
ok	-	numeric fuzz 1
35.916	1	trace value
14.4	5	nop\n\nif 1 = 1 then nop\n\nelse\n
ok	-	::options all syntax\n
20.903	1	parse
18.1	2	if 1 = 1\nlab: nop
25.904	1	::requires x DIGITS\n
21.904	1	call off error x
25.904	1	::requires x NOPROLOG\n
99.930	1	use arg ..., a
ok	-	::attribute a get\n::attribute b set\n
31.3	1	use local .a
ok	-	::routine r public\n  return 1\n
ok	-	signal "lab"\nlab: nop
ok	-	::options notready syntax\n
25.901	1	::class c LIBRARY\n
ok	-	::class c\n::annotate class c k 1\n
25.909	1	raise error 1 additional (1) array (2)
ok	-	do a.b = 1 to 2\nend
99.925	1	::attribute "aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"\n
ok	-	do forever while 1\nend
ok	-	do 1\nend
ok	-	trace '0.9999999999'
ok	-	::options error syntax\n
ok	-	::class c metaclass class\n
20.924	1	::annotate\n
99.938	2	::constant c 5\n  return 1\n
7.2	5	nop\n\nselect\n\nif 1 = 1 then nop\n\nend\n
ok	-	::method m\nexpose a.\naddress a.1\nguard on when a.1\n
19.919	1	::options trace -1\n
ok	-	::routine r\n  return 1\n
